name,rating,Top_Sell_Rank,Popularity_Rank
 Máy tính bảng Oppo Pad Air (4GB/64GB) - Hàng Chính Hãng,5.0,69,226
"(Hàng chính hãng) Điện thoại bàn hữu tuyến H2P, hiệu Alcatel - Lucent",,202,226
"Apple iPad 10.2-inch (9th Gen) Wi-Fi, 2021",5.0,5,226
"Apple iPad Pro 11-inch M2 Wi-Fi, 2022",5.0,18,226
Apple iPhone 11,5.0,1,226
Apple iPhone 12,5.0,6,226
Apple iPhone 13,5.0,4,226
Apple iPhone 14 Plus,5.0,16,226
Apple iPhone 15,5.0,15,226
Apple iPhone 15 Plus,5.0,27,226
Apple iPhone 15 Pro Max,5.0,11,226
Cisco Unified IP Phone 7962G - Hàng chính hãng,,259,226
Cisco Unified IP Phone CP-7821-K9 - Hàng chính hãng,,259,226
Combo Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) và Bao da - Hàng nhập khẩu,5.0,13,226
Combo Máy đọc sách All New Kindle Paperwhite 5 (11th) KIDS EDITTION (KHÔNG QUẢNG CÁO) và Bao da - Hàng chính hãng,5.0,199,226
"Combo Máy đọc sách Kindle Scribe kèm bút – thế hệ đầu tiên có thể đọc và viết, màn hình 10,2” 300PPI, đèn vàng warmlight, bộ nhớ 16-64GB, đồng bộ dữ liệu qua Microsoft Word - hàng nhập khẩu",,304,226
Combo máy đọc sách Kindle 2022 (11th) tặng kèm bao da ( Cover ) - Hàng nhập khẩu,5.0,35,226
Combo máy đọc sách Kindle Paperwhite 5 (11th gen) tặng kèm bao da ( Cover ) - Hàng nhập khẩu,5.0,12,226
Máy Tính Bảng Galaxy Tab A8 4GB | 64GB - Hàng Chính Hãng,,231,226
"Máy Tính Bảng Học Tập Smart Study 1, Hàng Chính Hãng, Cho Trẻ Từ 5-12 Tuổi, 64GB, Tích Hợp Chương Trình Học Tập Toàn Diện",,364,226
Máy Tính Bảng Masstel Tab 10A 3GB/32GB - Hàng Chính Hãng,5.0,214,226
Máy Tính Bảng OPPO Pad Air (4GB/64GB) | Màn Hình 2K 1 tỷ Màu | Chip Snapdragon 680 | Hàng Chính Hãng,5.0,192,226
Máy Tính Bảng Samsung Galaxy Tab A7 3GB/64GB - Hàng Chính Hãng,5.0,282,226
Máy Tính Bảng Samsung Galaxy Tab A7 Lite T225 3GB/32GB - Hàng Chính Hãng,5.0,195,226
Máy Tính Bảng Samsung Galaxy Tab A8 - Hàng Chính Hãng,,364,226
Máy Tính Bảng Samsung Galaxy Tab A8 4GB/64GB - Hàng Chính Hãng,5.0,221,226
