id,sku,short_description,price,list_price,rating_average,review_count,quantity_sold,inventory_status,name,categories
4048043,5352269298151,"Thiết kế nổi bật, tiện íchĐiện Thoại Bàn Panasonic KX-TS500 được thiết kế đơn giản, thanh thoát nhưng rất sang trọng. Với màu sắc bắt mắt KX-TS500 làm cho căn phòng của bạn thêm nổi bật. Máy thích hợ...",339000,369000,4.5,24,"{'text': 'Đã bán 311', 'value': 311}",available,Điện Thoại Bàn Panasonic KX-TS500 - Hàng Chính Hãng,Điện Thoại - Máy Tính Bảng
4048581,5786167456410,"Thiết kế nổi bật, tiện íchĐiện Thoại Bàn Panasonic KX-TSC11 được thiết kế đơn giản, thanh thoát nhưng rất sang trọng. Với màu sắc bắt mắt KX-TS500 làm cho căn phòng của bạn thêm nổi bật. Máy thích hợ...",649000,649000,4.5,8,"{'text': 'Đã bán 65', 'value': 65}",available,Điện Thoại Bàn Panasonic KX-TSC11 - Hàng Chính Hãng,Điện thoại bàn
4059671,5074757709115,Khả năng ghi nhớ số điện thoạiĐiện Thoại Bàn Panasonic KXTS 520 được lắp đặt một công nghệ tiên tiến thông minh cho khả năng nhớ số điện thoại mà bạn đã liên lạc trong một khoảng thời gian nhất định....,469000,489000,4.2,11,"{'text': 'Đã bán 79', 'value': 79}",available,Điện Thoại Bàn Panasonic KXTS 520 - Hàng Chính Hãng,Điện thoại bàn
4065607,6818364917759,"Thiết kế nhỏ gọn, hiện đạiĐiện Thoại Bàn Panasonic KXTGF320CX thiết kế không dây hiện đại với tông màu đen sang trọng, giúp máy lâu cũ và chống bụi hiệu quả, cho bạn thời gian sử dụng lâu bền. Sản ph...",2450000,2450000,4.8,4,"{'text': 'Đã bán 13', 'value': 13}",available,Điện Thoại Bàn Panasonic KXTGF320CX - Hàng Chính Hãng,Điện thoại bàn
7447383,8842770904674,"Thiết kế ấn tượng và hầm hốĐiện Thoại Suntek Voga V1 - Hàng Chính Hãng có thiết kế ấn tượng và hầm hồ. Đặc biệt, sản phẩm này là thiết bị di động hết sức hoàn hảo khi thỏa mãn cả 2 yếu tố cơ bản nhất...",1990000,1990000,0.0,0,"{'text': 'Đã bán 4', 'value': 4}",available,Điện Thoại Suntek Voga V1 - Hàng Chính Hãng,Điện thoại phổ thông
11110653,4888876091898,"Dù với sự phát triển ngày càng mạnh mẽ và thông dụng của điện thoại di động, nhưng chiếc điện thoại bàn vẫn luôn gắn bó và có mặt trong mọi gia đình Việt. Điện thoài bàn ngày nay đã được cải tiến với ...",2500000,2500000,5.0,4,"{'text': 'Đã bán 21', 'value': 21}",available,Điện thoại bàn không dây Panasonic KX-TGF320 - Hàng Chính Hãng,Điện thoại bàn
11251711,6819082887706,"Dù với sự phát triển ngày càng mạnh mẽ và thông dụng của điện thoại di động, nhưng chiếc điện thoại bàn vẫn luôn gắn bó và có mặt trong mọi gia đình Việt. Điện thoài bàn ngày nay đã được cải tiến với ...",2090000,2090000,5.0,2,"{'text': 'Đã bán 9', 'value': 9}",available,Điện thoại bàn không dây Panasonic KX-TGD312 - Hàng Chính Hãng,Điện thoại bàn
11251951,4190116240875,"Thiết kế chắc chắnĐiện Thoại Bàn Panasonic KX-TGB110 được thiết kế chắc chắn và cứng cáp với các góc cạnh bo nhẹ, cho bạn cảm giác chắc và đầm tay.Màn hình hiển thị LCD 1.4 inchVới thiết kế nhỏ gọn...",850000,850000,5.0,1,"{'text': 'Đã bán 15', 'value': 15}",available,Điện thoại bàn không dây Panasonic KX-TGB110-Hàng Chính Hãng,Điện thoại bàn
11376644,5606452700397,"Điểm nổi bật Panasonic KX-TS560Đèn báo cuộc gọi đếnKiểu dáng thiết kế độc đáo mới lạBàn phím to, dễ sử dụng, thao tác đơn giảnHệ thống gọi bằng một phím bấmĐiều chỉnh âm lượng chuông với 3 mức l...",730000,730000,5.0,1,"{'text': 'Đã bán 12', 'value': 12}",available,Điện thoại bàn có dây Panasonic KX-TS560MX - Hàng chính hãng,Điện thoại bàn
11415485,5489337020526,"Điện thoại bàn Panasonic KX-TS580K - Mầu đen Trắng·Màn hình LCD hiển thị rõ ràng và dễ đọc.·Hiển thị số điện thoại gọi đến, gọi đi.·Nhớ 50 số điện thoại gọi đến, 20 số gọi đi.·Danh bạ nhớ 50 tên v...",940000,940000,4.8,5,"{'text': 'Đã bán 28', 'value': 28}",available,Điện Thoại Cố Định Panasonic KX-TS580MX - Hàng chính hãng,Điện thoại bàn
